station_name,station_code,station_category,division,zone,district,state
KOTLI KALAN HALT,KTKL,HG3,DELHI,NR,MANSA,PUNJAB
LAKHAN MAJRA HALT,LNMA,HG3,DELHI,NR,ROHTAK,HARYANA
LALIT KHERA HALT,LTKR,HG3,DELHI,NR,JIND,HARYANA
LATH HALT,LATH,HG3,DELHI,NR,SONIPAT,HARYANA
LODHI COLONY,LDCY,HG3,DELHI,NR,SOUTH,DELHI
MACHHRAULI,MHRI,HG3,DELHI,NR,JHAJJAR,HARYANA
MAKRAULI,MKLI,HG3,DELHI,NR,ROHTAK,HARYANA
MANDAWALI CHANDER VI,MWC,HG3,DELHI,NR,NORTH EAST,DELHI
MOHANA HARYANA,MOHR,HG3,DELHI,NR,SONIPAT,HARYANA
MUNDKA HALT,MQC,HG3,DELHI,NR,WEST,DELHI
NARA HALT,NARA,HG3,DELHI,NR,PANIPAT,HARYANA
NARAINA VIHAR,NRVR,HG3,DELHI,NR,CENTRAL,DELHI
NUSRATABAD KHARKHARI,NTG,HG3,DELHI,NR,GHAZIABAD,UTTAR PRADESH
PABNAWAJAS MAHINDAR,PBJM,HG3,DELHI,NR,KAITHAL,HARYANA
PALHAWAS,PLHW,HG3,DELHI,NR,REWARI,HARYANA
PANDU PINDARA HALT,PPDE,HG3,DELHI,NR,JIND,HARYANA
PINDARSI HALT,PDS,HG3,DELHI,NR,KURUKSHETRA,HARYANA
PRAGATI MAIDAN,PGMD,HG3,DELHI,NR,CENTRAL,DELHI
QUTABPUR,QTP,HG3,DELHI,NR,REWARI,HARYANA
RABHRA HALT,RBHR,HG3,DELHI,NR,SONIPAT,HARYANA
RAJLU GARHI HALT,RUG,HG3,DELHI,NR,SONIPAT,HARYANA
ROHAD NAGAR,ROHN,HG3,DELHI,NR,JHAJJAR,HARYANA
RUKHI HALT,RKX,HG3,DELHI,NR,SONIPAT,HARYANA
SARDAR PATEL ROAD,SDPR,HG3,DELHI,NR,SOUTH WEST,DELHI
SILA KHERI,SXE,HG3,DELHI,NR,JIND,HARYANA
SILAWAR,SLWR,HG3,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
SONA ARJUNPUR,SNAP,HG3,DELHI,NR,SAHARANPUR,UTTAR PRADESH
SUJRA,SUJR,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
SULTANPUR KALIAWAS,STKW,HG3,DELHI,NR,GURUGRAM,HARYANA
SUNDERPUR BARAHKALAN,SPBK,HG3,DELHI,NR,ROHTAK,HARYANA
SUNEHRA,SFA,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
TAJ NAGAR,TNJR,HG3,DELHI,NR,GURUGRAM,HARYANA
USMANPUR DEHAT HALT,UPRD,HG3,DELHI,NR,SHAMLI,UTTAR PRADESH
DELHI JN.,DLI,NSG1,DELHI,NR,NORTH,DELHI
HAZRAT NIZAMUDDIN JN,NZM,NSG1,DELHI,NR,SOUTH,DELHI
NEW DELHI,NDLS,NSG1,DELHI,NR,CENTRAL,DELHI
ANAND VIHAR TERMINAL,ANVT,NSG2,DELHI,NR,NORTH EAST,DELHI
DELHI-SARAI ROHILLA,DEE,NSG2,DELHI,NR,NORTH WEST,DELHI
GHAZIABAD JN.,GZB,NSG2,DELHI,NR,GHAZIABAD,UTTAR PRADESH
SONIPAT,SNP,NSG2,DELHI,NR,SONIPAT,HARYANA
DELHI CANTT.,DEC,NSG3,DELHI,NR,SOUTH WEST,DELHI
DELHI-SHAHDARA JN.,DSA,NSG3,DELHI,NR,NORTH EAST,DELHI
FARIDABAD,FDB,NSG3,DELHI,NR,FARIDABAD,HARYANA
GURGAON,GGN,NSG3,DELHI,NR,GURUGRAM,HARYANA
MEERUT CITY JN.,MTC,NSG3,DELHI,NR,MEERUT,UTTAR PRADESH
MUZAFFARNAGAR,MOZ,NSG3,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
PALWAL,PWL,NSG3,DELHI,NR,FARIDABAD,HARYANA
PANIPAT JN.,PNP,NSG3,DELHI,NR,PANIPAT,HARYANA
ROHTAK JN.,ROK,NSG3,DELHI,NR,ROHTAK,HARYANA
BAHADURGARH,BGZ,NSG4,DELHI,NR,JHAJJAR,HARYANA
BALLABGARH,BVH,NSG4,DELHI,NR,FARIDABAD,HARYANA
BARAUT,BTU,NSG4,DELHI,NR,BAGHPAT,UTTAR PRADESH
FARIDABAD NEW TOWN,FDN,NSG4,DELHI,NR,FARIDABAD,HARYANA
GANAUR,GNU,NSG4,DELHI,NR,SONIPAT,HARYANA
KARNAL,KUN,NSG4,DELHI,NR,KARNAL,HARYANA
KURUKSHETRA JN.,KKDE,NSG4,DELHI,NR,KURUKSHETRA,HARYANA
MODINAGAR,MDNR,NSG4,DELHI,NR,GHAZIABAD,UTTAR PRADESH
NANGLOI,NNO,NSG4,DELHI,NR,WEST,DELHI
NARELA,NUR,NSG4,DELHI,NR,NORTH WEST,DELHI
NOLI,NOLI,NSG4,DELHI,NR,GHAZIABAD,UTTAR PRADESH
PALAM,PM,NSG4,DELHI,NR,SOUTH WEST,DELHI
PATAUDI ROAD,PTRD,NSG4,DELHI,NR,GURUGRAM,HARYANA
SADAR BAZAR,DSB,NSG4,DELHI,NR,NORTH,DELHI
SAHIBABAD,SBB,NSG4,DELHI,NR,GHAZIABAD,UTTAR PRADESH
SHAKUR BASTI,SSB,NSG4,DELHI,NR,NORTH WEST,DELHI
TUGALAKABAD,TKD,NSG4,DELHI,NR,SOUTH,DELHI
ADARSH NAGAR DELHI,ANDI,NSG5,DELHI,NR,NORTH,DELHI
ASAOTI,AST,NSG5,DELHI,NR,FARIDABAD,HARYANA
BADLI,BHD,NSG5,DELHI,NR,NORTH WEST,DELHI
BAGHPAT ROAD,BPM,NSG5,DELHI,NR,BAGHPAT,UTTAR PRADESH
BUDHLADA,BLZ,NSG5,DELHI,NR,MANSA,PUNJAB
DELHI-KISHANGANJ,DKZ,NSG5,DELHI,NR,NORTH,DELHI
DELHI-SAFDAR JANG,DSJ,NSG5,DELHI,NR,SOUTH WEST,DELHI
DEOBAND,DBD,NSG5,DELHI,NR,SAHARANPUR,UTTAR PRADESH
GARHI HARSARU JN.,GHH,NSG5,DELHI,NR,GURUGRAM,HARYANA
JAKHAL JN.,JHL,NSG5,DELHI,NR,FATEHABAD,HARYANA
JIND JN.,JIND,NSG5,DELHI,NR,JIND,HARYANA
JULANA,JNA,NSG5,DELHI,NR,JIND,HARYANA
KAITHAL,KLE,NSG5,DELHI,NR,KAITHAL,HARYANA
KHATAULI,KAT,NSG5,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
KHEKRA,KEX,NSG5,DELHI,NR,BAGHPAT,UTTAR PRADESH
MANSA,MSZ,NSG5,DELHI,NR,MANSA,PUNJAB
MAUR,MAUR,NSG5,DELHI,NR,BATHINDA,PUNJAB
MEERUT CANT,MUT,NSG5,DELHI,NR,MEERUT,UTTAR PRADESH
MURADNAGAR,MUD,NSG5,DELHI,NR,GHAZIABAD,UTTAR PRADESH
NARWANA JN.,NRW,NSG5,DELHI,NR,JIND,HARYANA
OKHLA,OKA,NSG5,DELHI,NR,SOUTH EAST,DELHI
SAMALKHA,SMK,NSG5,DELHI,NR,PANIPAT,HARYANA
SAMPLA,SPZ,NSG5,DELHI,NR,JHAJJAR,HARYANA
SHAMLI,SMQL,NSG5,DELHI,NR,SHAMLI,UTTAR PRADESH
SHIVAJI BRIDGE,CSB,NSG5,DELHI,NR,CENTRAL,DELHI
SUBZI MANDI,SZM,NSG5,DELHI,NR,NORTH,DELHI
TAPRI JN.,TPZ,NSG5,DELHI,NR,SAHARANPUR,UTTAR PRADESH
TILAK BRIDGE,TKJ,NSG5,DELHI,NR,CENTRAL,DELHI
TOHANA,TUN,NSG5,DELHI,NR,FATEHABAD,HARYANA
VIVEK VIHAR,VVB,NSG5,DELHI,NR,NORTH EAST,DELHI
AMIN,AMIN,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
ASAUDAH,ASE,NSG6,DELHI,NR,JHAJJAR,HARYANA
ASTHAL BOHAR,ABO,NSG6,DELHI,NR,ROHTAK,HARYANA
BABARPUR,BBDE,NSG6,DELHI,NR,PANIPAT,HARYANA
BAMANHERI,BMHR,NSG6,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
BARETA,BRZ,NSG6,DELHI,NR,MANSA,PUNJAB
BARSOLA,BZO,NSG6,DELHI,NR,JIND,HARYANA
BASAI DHANKOT,BDXT,NSG6,DELHI,NR,GURUGRAM,HARYANA
BAZIDA JATAN,BZJT,NSG6,DELHI,NR,KARNAL,HARYANA
BHAINI KHURD,BZK,NSG6,DELHI,NR,KARNAL,HARYANA
BHODWAL MAJRI,BDMJ,NSG6,DELHI,NR,PANIPAT,HARYANA
BIJWASAN,BWSN,NSG6,DELHI,NR,SOUTH WEST,DELHI
BISHANPUR HARYANA,BSPH,NSG6,DELHI,NR,JIND,HARYANA
BRAR SQUARE,BRSQ,NSG6,DELHI,NR,SOUTH WEST,DELHI
DAURALA,DRLA,NSG6,DELHI,NR,MEERUT,UTTAR PRADESH
DAYA BASTI,DBSI,NSG6,DELHI,NR,NORTH,DELHI
DELHI-AZADPUR,DAZ,NSG6,DELHI,NR,NORTH WEST,DELHI
DHAMTAN SAHIB,DTN,NSG6,DELHI,NR,JIND,HARYANA
DHARODI,DHY,NSG6,DELHI,NR,JIND,HARYANA
DHIRPUR,DPP,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
DHODA KHERI,DHKR,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
DHOLA MAJRA,DHMZ,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
DIWANA,DWNA,NSG6,DELHI,NR,PANIPAT,HARYANA
DOBH BAHALI,DBHL,NSG6,DELHI,NR,ROHTAK,HARYANA
FARUKHNAGAR,FN,NSG6,DELHI,NR,GURUGRAM,HARYANA
GHARAUNDA,GRA,NSG6,DELHI,NR,KARNAL,HARYANA
GHASO,GSO,NSG6,DELHI,NR,JIND,HARYANA
GHEVRA,GHE,NSG6,DELHI,NR,WEST,DELHI
GOHANA,GHNA,NSG6,DELHI,NR,SONIPAT,HARYANA
GULDHAR,GUH,NSG6,DELHI,NR,GHAZIABAD,UTTAR PRADESH
HIMMATPURA,HMQ,NSG6,DELHI,NR,FATEHABAD,HARYANA
HIND,HIND,NSG6,DELHI,NR,SHAMLI,UTTAR PRADESH
HOLAMBI KALAN,HUK,NSG6,DELHI,NR,NORTH WEST,DELHI
INCHHAPURI,IHP,NSG6,DELHI,NR,GURUGRAM,HARYANA
ISMAILA HARYANA,ISM,NSG6,DELHI,NR,ROHTAK,HARYANA
JAI JAI WANTI,JJT,NSG6,DELHI,NR,JIND,HARYANA
JARAUDA NARA,JDW,NSG6,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
JATAULA JORI SAMPKA,JSKA,NSG6,DELHI,NR,GURUGRAM,HARYANA
JHAJJAR,JHJ,NSG6,DELHI,NR,JHAJJAR,HARYANA
JIND CITY,JCY,NSG6,DELHI,NR,JIND,HARYANA
KALAYAT,KIY,NSG6,DELHI,NR,KAITHAL,HARYANA
KANDHLA,KQL,NSG6,DELHI,NR,SHAMLI,UTTAR PRADESH
KARAINTHI,KHV,NSG6,DELHI,NR,ROHTAK,HARYANA
KATAR SINGH WALA,KZW,NSG6,DELHI,NR,BATHINDA,PUNJAB
KHALILPUR,KIP,NSG6,DELHI,NR,GURUGRAM,HARYANA
KHARAWAR,KRZ,NSG6,DELHI,NR,ROHTAK,HARYANA
KHERA KALAN,KHKN,NSG6,DELHI,NR,NORTH WEST,DELHI
KHUKRANA,KURN,NSG6,DELHI,NR,PANIPAT,HARYANA
KILA ZAFARGARH,KZH,NSG6,DELHI,NR,JIND,HARYANA
KINANA,KIU,NSG6,DELHI,NR,JIND,HARYANA
KOT FATEH,KTF,NSG6,DELHI,NR,BATHINDA,PUNJAB
LAJPAT NAGAR,LPNR,NSG6,DELHI,NR,SOUTH,DELHI
MADLAUDA,MLDE,NSG6,DELHI,NR,PANIPAT,HARYANA
MAISAR KHANA,MASK,NSG6,DELHI,NR,BATHINDA,PUNJAB
MANANI,MNZ,NSG6,DELHI,NR,SAHARANPUR,UTTAR PRADESH
MANGOLPURI,MGLP,NSG6,DELHI,NR,NORTH WEST,DELHI
MANSURPUR,MSP,NSG6,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
MOHIUDDINPUR,MUZ,NSG6,DELHI,NR,MEERUT,UTTAR PRADESH
MOHRI,MOY,NSG6,DELHI,NR,AMBALA,HARYANA
MUDLANA,MDLA,NSG6,DELHI,NR,SONIPAT,HARYANA
NAGAL,NGL,NSG6,DELHI,NR,SAHARANPUR,UTTAR PRADESH
NANAUTA,NNX,NSG6,DELHI,NR,SAHARANPUR,UTTAR PRADESH
NARINDARPURA,NPX,NSG6,DELHI,NR,MANSA,PUNJAB
NAULTHA,NLH,NSG6,DELHI,NR,PANIPAT,HARYANA
NAYA GHAZIABAD,GZN,NSG6,DELHI,NR,GHAZIABAD,UTTAR PRADESH
NILOKHERI,NLKR,NSG6,DELHI,NR,KARNAL,HARYANA
PABLI KHAS,PQY,NSG6,DELHI,NR,MEERUT,UTTAR PRADESH
PARTAPUR,PRTP,NSG6,DELHI,NR,MEERUT,UTTAR PRADESH
PATEL NAGAR,PTNR,NSG6,DELHI,NR,CENTRAL,DELHI
PATLI,PT,NSG6,DELHI,NR,GURUGRAM,HARYANA
PEHOWA ROAD,PHWR,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
PILU KHERA,PKDE,NSG6,DELHI,NR,JIND,HARYANA
QASIMPUR KHERI,KPKI,NSG6,DELHI,NR,BAGHPAT,UTTAR PRADESH
RAMPUR MANIHARAN,RPMN,NSG6,DELHI,NR,SAHARANPUR,UTTAR PRADESH
RATHDHANA,RDDE,NSG6,DELHI,NR,SONIPAT,HARYANA
ROHANA KALAN,RNA,NSG6,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
SADDA SINGHWALA,SSZ,NSG6,DELHI,NR,MANSA,PUNJAB
SAFIDON,SFDE,NSG6,DELHI,NR,JIND,HARYANA
SAJUMA,SJM,NSG6,DELHI,NR,KAITHAL,HARYANA
SAKHOTI TANDA,SKF,NSG6,DELHI,NR,MEERUT,UTTAR PRADESH
SAMAR GOPALPUR,SMF,NSG6,DELHI,NR,ROHTAK,HARYANA
SANDAL KALAN,SLKN,NSG6,DELHI,NR,SONIPAT,HARYANA
SAROJINI NAGAR,SOJ,NSG6,DELHI,NR,SOUTH,DELHI
SEWA NAGAR,SWNR,NSG6,DELHI,NR,SOUTH,DELHI
SHAHABAD MARKANDA,SHDM,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
SHAHABAD MUHAMMADPUR,SMDP,NSG6,DELHI,NR,SOUTH WEST,DELHI
SIWAHA,SWDE,NSG6,DELHI,NR,JIND,HARYANA
TALHERI BAZURG,THJ,NSG6,DELHI,NR,SAHARANPUR,UTTAR PRADESH
TARAORI,TRR,NSG6,DELHI,NR,KARNAL,HARYANA
THANA BHAWAN,THBN,NSG6,DELHI,NR,SHAMLI,UTTAR PRADESH
THANESAR CITY,TNDE,NSG6,DELHI,NR,KURUKSHETRA,HARYANA
TIK,TIK,NSG6,DELHI,NR,KAITHAL,HARYANA
UCHANA,UCA,NSG6,DELHI,NR,JIND,HARYANA
BAJALTA,BLA,HG2,FEROZPUR,NR,JAMMU,JAMMU AND KASHMIR
D.A.V. COLLEGE JALAN,DAVJ,HG2,FEROZPUR,NR,FAZILKA,PUNJAB
GHAL KALAN,GKX,HG2,FEROZPUR,NR,MOGA,PUNJAB
HILLAR SHAHABAD HALT,HRSB,HG2,FEROZPUR,NR,ANANTNAG,JAMMU AND KASHMIR
JHAWAR HALT,JHWR,HG2,FEROZPUR,NR,GURDASPUR,PUNJAB
TALLI SAIDA SAHU,TSS,HG2,FEROZPUR,NR,FIROZEPUR,PUNJAB
AJIT GILL MATTA HALT,AJTM,HG3,FEROZPUR,NR,FARIDKOT,PUNJAB
BABA BAKALA RAIYA,BBKR,HG3,FEROZPUR,NR,AMRITSAR,PUNJAB
BADHAI BALAMGARH HAL,BDBG,HG3,FEROZPUR,NR,SRI MUKTSAR SAHIB,PUNJAB
BAHMNIWALA,BVW,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
BALLE-DA-PIR-LARATH,BLDL,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
BARYAL HIMACHAL,BRHL,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
BATALA SUGAR MILLS,BATM,HG3,FEROZPUR,NR,GURDASPUR,PUNJAB
BHAGSAR,BSGR,HG3,FEROZPUR,NR,SRI MUKTSAR SAHIB,PUNJAB
BOPARAI HALT,BXO,HG3,FEROZPUR,NR,TARN TARAN,PUNJAB
BURJ MOHAR,BJMA,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
BUTEWALA,BWF,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
CHAK PAKHEWALA,CKA,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
CHAK-RAKHWAL,CRWL,HG3,FEROZPUR,NR,UDHAMPUR,JAMMU AND KASHMIR
CHAMUNDA MARG,CMMG,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
CHAREWAN HALT,CWN,HG3,FEROZPUR,NR,SRI MUKTSAR SAHIB,PUNJAB
D.A.V.COLLEGE JALALA,DAVC,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
DHINDSA,DDK,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
DODH,DODH,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
DUDWINDI,DDY,HG3,FEROZPUR,NR,KAPURTHALA,PUNJAB
GHALLU,GHLU,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
GUMTALI,GTQ,HG3,FEROZPUR,NR,JALANDHAR,PUNJAB
JAND WALA,JWKA,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
JHABELWALI,JBW,HG3,FEROZPUR,NR,SRI MUKTSAR SAHIB,PUNJAB
JOGIWALA,JGW,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
KANDWAL,KAWL,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
KANG KHURD,KGKD,HG3,FEROZPUR,NR,JALANDHAR,PUNJAB
KARIHA HALT,KYY,HG3,FEROZPUR,NR,SHAHID BHAGAT SINGH NAGAR,PUNJAB
KHADUR SAHIB HALT,KDSB,HG3,FEROZPUR,NR,TARN TARAN,PUNJAB
KHAI PHEMEKI,KIQ,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
KULTHAM ABDULLA SHAH,KASH,HG3,FEROZPUR,NR,SHAHID BHAGAT SINGH NAGAR,PUNJAB
LUNSU HALT,LNS,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
LYALPUR KHALSA COLLE,LKK,HG3,FEROZPUR,NR,JALANDHAR,PUNJAB
MAHANGARWAL DOABA,MGWD,HG3,FEROZPUR,NR,HOSHIARPUR,PUNJAB
MAHESHRI SANDHUAN,MSSD,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
MAJHAIRAN HIMACHAL,MNHL,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
MAJITHA,MJTA,HG3,FEROZPUR,NR,AMRITSAR,PUNJAB
MULEWAL KHAIHRA,MLKH,HG3,FEROZPUR,NR,JALANDHAR,PUNJAB
PARAO MAHNA,PMH,HG3,FEROZPUR,NR,MOGA,PUNJAB
PAROR,PRAR,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
PATTI RAJPURA HALT,PTRJ,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
PIPLI PAKHI KALAN,PKZ,HG3,FEROZPUR,NR,FARIDKOT,PUNJAB
RAIL COACH FACTORY,RCF,HG3,FEROZPUR,NR,KAPURTHALA,PUNJAB
RATAR CHHATTAR,RCR,HG3,FEROZPUR,NR,GURDASPUR,PUNJAB
RATTOKE GURDWARA HAL,RKG,HG3,FEROZPUR,NR,TARN TARAN,PUNJAB
RURE ASAL HALT,RRAL,HG3,FEROZPUR,NR,TARN TARAN,PUNJAB
SAIDPUR JALALABAD,SPJB,HG3,FEROZPUR,NR,TARN TARAN,PUNJAB
SARNA,SRM,HG3,FEROZPUR,NR,PATHANKOT,PUNJAB
SATNAUR BADESRON,SNB,HG3,FEROZPUR,NR,HOSHIARPUR,PUNJAB
SIDHWAN,SWG,HG3,FEROZPUR,NR,JALANDHAR,PUNJAB
SINDHAR,SDZ,HG3,FEROZPUR,NR,JALANDHAR,PUNJAB
SULHANI,SULH,HG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
THEH QALANDAR,TQL,HG3,FEROZPUR,NR,FAZILKA,PUNJAB
TRIPAL,TRPL,HG3,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
WANDER JATANA,WDJ,HG3,FEROZPUR,NR,FARIDKOT,PUNJAB
AMRITSAR JN.,ASR,NSG2,FEROZPUR,NR,AMRITSAR,PUNJAB
JALANDHAR CITY JN.,JUC,NSG2,FEROZPUR,NR,KAPURTHALA,PUNJAB
JAMMU TAWI,JAT,NSG2,FEROZPUR,NR,JAMMU,JAMMU AND KASHMIR
LUDHIANA JN.,LDH,NSG2,FEROZPUR,NR,LUDHIANA,PUNJAB
BEAS JN,BEAS,NSG3,FEROZPUR,NR,AMRITSAR,PUNJAB
FIROZPUR CANTT. JN.,FZR,NSG3,FEROZPUR,NR,FIROZEPUR,PUNJAB
JALANDHAR CANTT. JN.,JRC,NSG3,FEROZPUR,NR,JALANDHAR,PUNJAB
PATHANKOT CANTT,PTKC,NSG3,FEROZPUR,NR,PATHANKOT,PUNJAB
PHAGWARA JN.,PGW,NSG3,FEROZPUR,NR,KAPURTHALA,PUNJAB
SHRI MATA VAISHNO DEVI KATRA,SVDK,NSG3,FEROZPUR,NR,REASI,JAMMU AND KASHMIR
PATHANKOT JN.,PTK,NSG4,FEROZPUR,NR,PATHANKOT,PUNJAB
UDHAMPUR,UHP,NSG4,FEROZPUR,NR,UDHAMPUR,JAMMU AND KASHMIR
ANANTNAG,ANT,NSG5,FEROZPUR,NR,ANANTNAG,JAMMU AND KASHMIR
BATALA JN.,BAT,NSG5,FEROZPUR,NR,GURDASPUR,PUNJAB
DASUA,DZA,NSG5,FEROZPUR,NR,HOSHIARPUR,PUNJAB
DHANDARI KALAN,DDL,NSG5,FEROZPUR,NR,LUDHIANA,PUNJAB
DHARIWAL,DHW,NSG5,FEROZPUR,NR,GURDASPUR,PUNJAB
DINANAGAR,DNN,NSG5,FEROZPUR,NR,GURDASPUR,PUNJAB
FARIDKOT,FDK,NSG5,FEROZPUR,NR,FARIDKOT,PUNJAB
FAZILKA JN.,FKA,NSG5,FEROZPUR,NR,FAZILKA,PUNJAB
GANGSAR JAITU,GJUT,NSG5,FEROZPUR,NR,FARIDKOT,PUNJAB
GURDASPUR,GSP,NSG5,FEROZPUR,NR,GURDASPUR,PUNJAB
HOSHIARPUR,HSX,NSG5,FEROZPUR,NR,HOSHIARPUR,PUNJAB
KAPURTHALA,KXH,NSG5,FEROZPUR,NR,KAPURTHALA,PUNJAB
KARTARPUR,KRE,NSG5,FEROZPUR,NR,JALANDHAR,PUNJAB
KATHUA,KTHU,NSG5,FEROZPUR,NR,KATHUA,JAMMU AND KASHMIR
KOT KAPURA JN.,KKP,NSG5,FEROZPUR,NR,FARIDKOT,PUNJAB
LOHIAN KHAS JN.,LNK,NSG5,FEROZPUR,NR,JALANDHAR,PUNJAB
MAKHU,MXH,NSG5,FEROZPUR,NR,FIROZEPUR,PUNJAB
MUKERIAN,MEX,NSG5,FEROZPUR,NR,HOSHIARPUR,PUNJAB
MUKTSAR,MKS,NSG5,FEROZPUR,NR,SRI MUKTSAR SAHIB,PUNJAB
NAKODAR JN.,NRO,NSG5,FEROZPUR,NR,JALANDHAR,PUNJAB
PHILLAUR JN.,PHR,NSG5,FEROZPUR,NR,JALANDHAR,PUNJAB
SAMBA,SMBX,NSG5,FEROZPUR,NR,SAMBA,JAMMU AND KASHMIR
AHJU,AHJU,NSG6,FEROZPUR,NR,MANDI,HIMACHAL PRADESH
AJITWAL,AJL,NSG6,FEROZPUR,NR,MOGA,PUNJAB
ALAWAL PUR,AWL,NSG6,FEROZPUR,NR,JALANDHAR,PUNJAB
ATARI JN.,ATT,NSG6,FEROZPUR,NR,AMRITSAR,PUNJAB
AWANTIPURA,ATPA,NSG6,FEROZPUR,NR,PULWAMA,JAMMU AND KASHMIR
BADDOWAL,BWZ,NSG6,FEROZPUR,NR,LUDHIANA,PUNJAB
BAHRAM,BHM,NSG6,FEROZPUR,NR,SHAHID BHAGAT SINGH NAGAR,PUNJAB
BAIJNATH PAPROLA,BJPL,NSG6,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
BANGA,BXB,NSG6,FEROZPUR,NR,SHAHID BHAGAT SINGH NAGAR,PUNJAB
BANIHAL,BAHL,NSG6,FEROZPUR,NR,RAMBAN,JAMMU AND KASHMIR
BARAMULLA,BRML,NSG6,FEROZPUR,NR,BARAMULLA,JAMMU AND KASHMIR
BARI BRAHMAN,BBMN,NSG6,FEROZPUR,NR,JAMMU,JAMMU AND KASHMIR
BARIWALA,BRW,NSG6,FEROZPUR,NR,SRI MUKTSAR SAHIB,PUNJAB
BHAGTANWALA,BGTN,NSG6,FEROZPUR,NR,AMRITSAR,PUNJAB
BHANGALA,BNGL,NSG6,FEROZPUR,NR,HOSHIARPUR,PUNJAB
BHARMAR,BRMR,NSG6,FEROZPUR,NR,KANGRA,HIMACHAL PRADESH
BHAROLI,BHRL,NSG6,FEROZPUR,NR,PATHANKOT,PUNJAB
BHOGPUR SIRWAL,BPRS,NSG6,FEROZPUR,NR,JALANDHAR,PUNJAB
BIJBAHERA,BJBA,NSG6,FEROZPUR,NR,ANANTNAG,JAMMU AND KASHMIR
BILGA,BZG,NSG6,FEROZPUR,NR,JALANDHAR,PUNJAB
BOLINNA DOABA,BLND,NSG6,FEROZPUR,NR,JALANDHAR,PUNJAB
BUDGAM,BDGM,NSG6,FEROZPUR,NR,BUDGAM,JAMMU AND KASHMIR
BUDHI,BDHY,NSG6,FEROZPUR,NR,KATHUA,JAMMU AND KASHMIR
BUTARI,BTR,NSG6,FEROZPUR,NR,AMRITSAR,PUNJAB
CHAK BANWALA,CKLA,NSG6,FEROZPUR,NR,FAZILKA,PUNJAB
CHAKDAYALA,CKDL,NSG6,FEROZPUR,NR,KATHUA,JAMMU AND KASHMIR
CHAND BHAN,CBX,NSG6,FEROZPUR,NR,BATHINDA,PUNJAB
CHAUKI MAN,CKM,NSG6,FEROZPUR,NR,LUDHIANA,PUNJAB
CHHAN ARORIAN,CHNR,NSG6,FEROZPUR,NR,KATHUA,JAMMU AND KASHMIR
CHHEHARTA,CIA,NSG6,FEROZPUR,NR,AMRITSAR,PUNJAB
CHHINA,CHN,NSG6,FEROZPUR,NR,GURDASPUR,PUNJAB
CHIHERU,CEU,NSG6,FEROZPUR,NR,KAPURTHALA,PUNJAB
CHOLANG,CGH,NSG6,FEROZPUR,NR,HOSHIARPUR,PUNJAB
CHURI WALA,CWDA,NSG6,FEROZPUR,NR,FAZILKA,PUNJAB
DAGRU,DAU,NSG6,FEROZPUR,NR,MOGA,PUNJAB
DALHOUSI ROAD,DLSR,NSG6,FEROZPUR,NR,PATHANKOT,PUNJAB
DERABABA NANAK,DBNK,NSG6,FEROZPUR,NR,GURDASPUR,PUNJAB
DHILWAN,DIW,NSG6,FEROZPUR,NR,KAPURTHALA,PUNJAB
